;statement;issue;person;channel;truth
4731;"""President Biden confirm(ed) everyone will receive their $1k gas checks this week!!""";energy;Facebook posts; in a post;false
4732;"Says photo shows ""one of Tesla's lithium supply mines where entire mountains are eliminated.""";energy;Facebook posts; in a photo;false
4733;Fuel containing 15% ethanol will ruin a car engine.;energy;Facebook posts; in a post;barely-true
4734;People protesting the Dakota Access pipeline “were intentionally poisoned” by government officials in North Dakota when a pilot “knowingly sprayed poisonous chemicals” over protesters’ camps.;energy;Facebook posts; in a Facebook post;false
4735;In cutting greenhouse gas emissions, the United States is “the leader in the world by far.”;energy;Dan Sullivan; in a Senate hearing;half-true
4736;"""As compared to last year, Texas has about 15% more power generation capacity.""";energy;Greg Abbott; in a press conference;mostly-true
4737;The Strategic Petroleum Reserve has “been mostly empty” for decades.;energy;Donald Trump; in a public statement;false
4738;“Gas prices have been going up since the president’s first day in office, starting with his move to shut down the Keystone XL pipeline.”;energy;Joni Ernst; in an email newsletter;half-true
4739;“If you look at windmills” and the greenhouse gas emissions from building to retiring them, “the overall return is negative.”;energy;Eli Bremer; in an interview with Fox News;false
4740;"Biden ""wants to buy lithium from China for electric cars.""";energy;Facebook posts; in a Facebook post;false
4741;“In April 1997, there was a ‘gas out’ conducted nationwide in protest of gas prices. Gasoline prices dropped 30 cents a gallon overnight.”;energy;Facebook posts; in a Facebook post;pants-fire
4742;Comparing the price of oil and gas in June 2008 to March 2022 shows that oil companies are “price gouging.”;energy;Facebook posts; in a Facebook post;false
4743;“As soon as Biden took office, he eliminated all subsidies for fossil fuels.”;energy;Bill O'Reilly; in a video on his website;barely-true
4744;"Joe Biden's cancellation of the Keystone pipeline ""dramatically increased Americans' dependence on Russian oil.""";energy;Mike Pence; in an ad from Advancing American Freedom;false
4745;"""The US has made strides in reducing carbon emissions that other parts of the world have not.""";energy;Glenn Grothman; in Twitter;true
4746;U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”;energy;Facebook posts; in a Facebook post;mostly-true
4747;Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”;energy;Facebook posts; in a Facebook post;false
4748;"The oil industry has ""9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year.""";energy;Joe Biden; in a speech;mostly-true
4749;"""Gas is high because they shut down production in the U.S.” under the Biden administration.";energy;Facebook posts; in a Facebook post;false
4750;Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”;energy;Mike Gibbons; in an ad;half-true
4751;"The Keystone XL pipeline ""would have produced 830,000 barrels of oil per day, more than enough to offset what we import from Russia.""";energy;Jake LaTurner; in an ad;half-true
4752;“We have doubled our (oil) imports from Russia in the last year.”;energy;Maria Bartiromo; in a TV segment;barely-true
4753;"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""";energy;Facebook posts; in a Facebook post;barely-true
4754;“New Jersey and Maryland produce more solar power than Florida, the Sunshine State!”;energy;Charlie Crist; in Twitter;barely-true
4755;“President Trump sanctioned Russia. President Biden gave them a pipeline.”;energy;Kayleigh McEnany; in a Facebook post;barely-true
4756;"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""";energy;Joe Manchin; in a Senate hearing;half-true
4757;"""If you look pre-COVID"" under President Donald Trump, ""we didn't import a single barrel of oil from Saudi Arabia.”";energy;Sean Hannity; in a TV segment;false
4758;Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.;energy;Facebook posts; in a Facebook post;false
4759;"""U.S. households are on track to spend $19 billion more on energy by 2030.""";energy;Roger Williams; in in a speech;half-true
4760;Keystone Pipeline was blocked by Obama on Warren Buffett’s behalf.;energy;Facebook posts; in post on Facebook;false
4761;Photos show “diesel generators” at the COP26 climate change conference.;energy;X posts; in a tweet;false
4762;"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""";energy;Randy Feenstra; in a tweet;true
4763;“Gas prices were WAY higher in 2008, under REPUBLICAN president George W. Bush.”;energy;Facebook posts; in a Facebook post;half-true
4764;A wind turbine “could never generate as much energy as was invested in building it.”;energy;Viral image; in a Facebook post;false
4765;"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""";energy;Bloggers; in an article;false
4766;“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”;energy;Carol Miller; in an article in RealClearEnergy;half-true
4767;“As a result of the massive decline in natural gas prices, we’re saving 11,000 lives per year in the U.S.”;energy;Gary Palmer; in remarks during a House hearing;half-true
4768;“West Virginia University just came out with a study that showed that there will be almost 20,000 jobs created in clean energy in West Virginia if (President Joe Biden’s) agenda is passed.”;energy;Jennifer Granholm; in an interview on CNN;half-true
4769;The U.S. is “now importing 800,000 barrels of oil from Russia,” but that could have been prevented if the Keystone XL pipeline hadn’t been cancelled.;energy;Facebook posts; in social media posts;half-true
4770;Solar panel farms cause “hundreds and thousands” of birds to “hit that magnified sun, explode in flame ... (This) is going to bring the nation down.”;energy;Louie Gohmert; in an OAN broadcast.;half-true
4771;"The federal  infrastructure bill includes “a pilot program for a national motor vehicle per-mile user fee, which is basically a long-term plan to make it too expensive to drive a car.""";energy;Viral image; in a viral image;barely-true
4772;Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer;energy;Tom Tiffany; in Twitter;barely-true
4773;"General Motors “admits the 'clean' energy used to charge electric cars comes from coal, 95% coal, to be exact.""";energy;Facebook posts; in a Facebook post;false
4774;"“In Texas, the power companies have automatically raised the temperature of people's thermostats in the middle of a heatwave without their permission.""";energy;Tucker Carlson; in a show;false
4775;“California literally just told everyone to not charge their electric cars due to power shortage.”;energy;Facebook posts; in a Facebook post;false
4776;“Prairie State power plant is the cleanest coal-fired power plant in the nation.”;energy;Rodney Davis; in a press release;pants-fire
4777;Says Joe Biden “imports oil from Iran.”;energy;The Gateway Pundit; in a blog post;barely-true
4778;The Biden administration “ignores the negative environmental impact created by lithium mining.”;energy;Chuck Grassley; in an op-ed;false
4779;Says the Pentagon killed a man who invented a water-powered fuel cell for cars.;energy;Facebook posts; in a Facebook post;false
4780;"Lumber, gas, wheat, coal and corn cost more in April 2021 ""in Joe Biden's America"" than they did a year earlier.";energy;Facebook posts; in a Facebook post;half-true
4781;Says Joe Biden’s infrastructure plan “is the Green New Deal.”;energy;Citizens United; in a tweet;barely-true
4782;"The Democratic clean energy plan is pro-China, because ""90% of the solar panels, 80% of the wind machines, 90% of the rare earth minerals … are in Asia or in China.”";energy;Cathy McMorris Rodgers; in a House hearing;half-true
4783;"""Since 2006 Texas has given $19B in taxpayer subsidies to wind energy companies. Over the past 2-3 years Texas has tripled our dependence on wind energy to 23-25 percent of our energy distribution system.""";energy;Allen West; in a Facebook post;false
4784;By ending the Keystone XL Pipeline project, President Joe Biden “imperiled one of Donald Trump's most significant achievements, which was that we had achieved American energy independence.”;energy;Eric  Greitens; in an interview on 97.1 KTFK;barely-true
4785;“Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.”;energy;Kevin McCarthy; in an interview on Fox News;pants-fire
4786;Diesel prices jumped from $1.69 to $3.19 since Biden took office, and the president is to blame.;energy;Facebook posts; in a Facebook post;pants-fire
4787;“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”;energy;Energy Transfer; in testimony;true
4788;“Subsidizing investment in wind has pushed gas and nuclear out. Now we live with the consequences.”;energy;Dan Crenshaw; in a tweet;false
4789;The shutdown of the Keystone Pipeline project will mean “nearly 2,000 (union jobs lost) with Wisconsin companies”;energy;Ron Johnson; in Facebook post;mostly-true
4790;"""The reality"" in Texas is that ""you’re flying helicopters, using fossil fuels, to put oil on wind turbines to defrost them.”";energy;Lara Logan; in a TV segment;false
4791;“Oil is now $61.30 a barrel and rising drastically! On Jan. 5, it was about $25 a barrel.”;energy;Facebook posts; in a Facebook post;false
4792;“Joe Biden is handing our power grid to the Chinese Communist Party.”;energy;Students for Trump; in a Tweet;false
4793;“Monticello power plant just outside of Pittsburg TX has been closed since 2018 because of renewable energy.”;energy;Viral image; in a Facebook post;barely-true
4794;“Heidi Cruz, Ted’s wife, is managing director of Goldman Sachs. They oversee the Texas utilities.”;energy;Facebook posts; in a Facebook post;barely-true
4795;“Joe Biden’s Dept. of Energy Blocked Texas from Increasing Power Ahead of Killer Storm”;energy;Infowars; in an article;pants-fire
4796;A Texas energy company billed a customer more than $200,000.;energy;Viral image; in a Facebook post;half-true
4797;“Energy experts and State House Dems, among others, were warning of this (the Texas power blackout) for years.”;energy;Beto O'Rourke; in a tweet;true
4798;Says Joe Biden “helps build Afghanistan’s pipeline.”;energy;Facebook posts; in a Facebook post;false
4799;“The United States was energy independent in 2019 for the first time since 1957. In just 10 days we are sent back 50 years.”;energy;Facebook posts; in a Facebook post;barely-true
4800;"“Unbeknownst to most people, the Green New Deal came to Texas; the power grid in the state became totally reliant on windmills.”";energy;Tucker Carlson; in a TV segment;pants-fire
4801;Says Joe Biden’s order stopping the Keystone pipeline “made oil more expensive for us to use.”;energy;Facebook posts; in a Facebook post;barely-true
4802;"""The Biden family is so heavily invested in oil and energy in other countries.""";energy;Facebook posts; in a Facebook post;barely-true
4803;“Shell Oil laying off 9,000 workers” because of Joe Biden.;energy;Facebook posts; in a Facebook post;false
4804;“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”;energy;Joe Biden; in remarks when signing climate change executive orders;mostly-true
4805;Says Joe Biden canceled the Keystone pipeline because Warren Buffett “donated $58 million” to his campaign.;energy;Facebook posts; in a Facebook post;false
4806;Says Joe Biden is “following through with a fracking ban.”;energy;Facebook posts; in an image;barely-true
4807;"""By revoking the Keystone pipeline permit, Biden is destroying 11,000 jobs.”";energy;Facebook posts; in an image;half-true
4808;"Says that the Paris Climate Accord will cost the U.S. economy ""6.5 million jobs and $3 trillion in economic growth by 2040.""";energy;Wayne Christian; in a letter;half-true
4809;Says Joe Biden has plans to ban animal agriculture and gas-powered cars.;energy;Donald Trump; in a campaign speech;false
4810;Says that the oil and gas industry comprises 35% of the Texas economy.;energy;Christi Craddick; in a tweet;mostly-true
4811;Video from 2019 shows Kamala Harris “caught in a major lie” about fracking during the 2020 vice presidential debate.;energy;Bloggers; in an article;barely-true
4812;Says Joe Biden “made it clear..No More Coal Fired Power Plants!! So, No More Coal!! Wake Up WV, PA,OH, KY”;energy;Facebook posts; in a text post;half-true
4813;Gas prices during the Obama-Biden administration were $5.49 a gallon.;energy;Viral image; in a post on Facebook;half-true
4814;“In California, Democrats have intentionally implemented rolling blackouts.”;energy;Donald Trump; in a tweet;false
4815;Says Democratic presidential nominee Joe Biden backs a fracking ban that would cost 100,000 Wisconsin jobs;energy;Wisconsin Trump Victory; in an email;false
4816;“New York is one of only 12 states where the average gallon of gas costs more than $2.00.”;energy;American Automobile Association; in a news report;true
4817;"""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""";energy;Facebook posts; in a Facebook post;false
4818;Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.;energy;Donald Trump; in a campaign ad;mostly-true
4819;Says Joe Biden “just announced on CNN he will completely shut down drilling for oil and natural gas on day one of his administration.”;energy;Facebook posts; in a Facebook post;barely-true
4820;“Sen. Bernie Sanders led the effort to dump Vermont's nuclear waste on a poor Latino community in Texas.”;energy;Facebook posts; in a Facebook post;half-true
4821;“Nancy Pelosi’s Brother’s Company Received $737 Million from Obama’s Energy Dept!”;energy;Facebook posts; in a YouTube video;false
4822;"Says Bernie Sanders would “go beyond reform and reorder the economy in ways most Democrats — let alone most Americans — don’t support.""";energy;Pete Buttigieg; in a speech;barely-true
4823;Says Eric Hovde “claims anyone who believes in transitioning to a clean energy economy is ‘smoking crack cocaine.’”;environment;Climate Power; in Organization email;false
4824;“In Montana, we cherish our public lands. But Tim Sheehy called to transfer them off, so the ultra-rich can buy them up.”;environment;Jon Tester; in a post on X;false
4825;A biolab caught fire in Georgia right before the 2024 election.;environment;X posts; in X posts;false
4826;The proposal to put golf courses, hotels in Florida state parks “was something that was leaked. … a lot of that stuff was half-baked and was not ready for prime time.”;environment;Ron DeSantis; in a press conference;barely-true
4827;In Wisconsin, “a legislative committee cannot release funding.”;environment;Jesse James; in News conference;barely-true
4828;"Kamala Harris ""co-sponsored, fully sponsored"" the Green New Deal.";environment;Byron Donalds; in an interview on Fox News Sunday;true
4829;"Activistas de Just Stop Oil ""han rociado con pintura naranja el avión de Taylor Swift, en el aeródromo privado de Stansted, en el Reino Unido"".";environment;Facebook posts; in una publicación en Facebook;false
4830;"Says Gov. Tony Evers is asking the GOP to release money for PFAS, but ""vetoed (a bill outlining) how to spend the money.""";environment;Van Wanggaard; in X, formerly Twitter;mostly-true
4831;“The science is clear — the gray wolf has met and exceeded recovery goals.”;environment;Tom Tiffany; in X, formerly Twitter;half-true
4832;Lyme disease became endemic because of U.S. government bioweapons labs.;environment;Tucker Carlson; in an Instagram post;pants-fire
4833;"""EPA regulators just banned most new gas-powered cars.""";environment;American Fuel & Petrochemical Manufacturers; in TV ad;false
4834;Foto muestra “El océano Atlántico y el pacífico frente a frente sin mezclarse”.;environment;Facebook posts; in una publicación en Facebook;false
4835;Video compilation shows a tornado and storms in Dubai on April 17.;environment;Instagram posts; in an Instagram post;false
4836;A photo shows a mine for “lithium for electric cars.”;environment;Viral image; in a Facebook post;false
4837;The day after the total solar eclipse, 85-foot waves traveled from Antarctica to South Africa.;environment;Facebook posts; in Facebook posts;false
4838;“ULEZ protesters covering cameras with bat boxes. Authorities not allowed to remove under their own law.”;environment;Instagram posts; in an Instagram post;false
4839;Tennessee bill that would ban the release of chemicals into the atmosphere is evidence chemtrails are real.;environment;Instagram posts; in an Instagram post;pants-fire
4840;A study that found sunbathing can increase the risk of heart disease is a cover-up for the “side-effects of the vax.”;environment;Instagram posts; in an Instagram post;false
4841;“Nearly a quarter million birds in New York City, and more than one billion across the country, die each year from collisions with buildings.”;environment;Brad Holyman-Sigal; in a press release;mostly-true
4842;The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”;environment;Patrick Burke; in a press release;true
4843;Texas petition to outlaw “aerosolized spraying” is evidence of chemtrails.;environment;Facebook posts; in a Facebook post;pants-fire
4844;En NASA estaban “investigando el mar y dejaron de investigarlo y se fueron para el espacio”.;environment;Facebook posts; in una publicación en Facebook;false
4845;Zombie deer virus is sweeping across 32 states after more than 100 million American wildlife animals were vaccinated by Mark Zuckerberg’s foundation.;environment;Instagram posts; in a post;false
4846;A river in Russia turned red in a biblical omen or divine “retribution.”;environment;Facebook posts; in a video;false
4847;Video muestra “momento cuando el huracán Otis llegó a Acapulco”.;environment;Facebook posts; in en una publicación en Facebook;false
4848;New York City is spraying unsafe pesticides to combat West Nile virus.;environment;Instagram posts; in an Instagram post;false
4849;“Ron DeSantis is against fracking. He is against drilling.”;environment;Nikki Haley; in a GOP presidential primary debate in California;half-true
4850;Hawaii wildfire was intentionally set because there’s “120 million tons of lithium in Maui.”;environment;TikTok posts; in a TikTok video;pants-fire
4851;"""Modified mosquitoes have officially made it to Ohio.”";environment;Instagram posts; in an Instagram post;false
4852;Bill Gates-funded research into genetically engineered cattle ticks is responsible for red-meat allergies from alpha-gal syndrome in the U.S.;environment;Instagram posts; in an Instagram post;false
4853;Speaker at World Economic Forum conference proposed adding COVID-19 vaccines to water supply.;environment;Facebook posts; in a Facebook post;pants-fire
4854;FEMA and Red Cross are “confiscating” donations meant for Hawaii wildfire victims.;environment;Facebook posts; in a Facebook post;false
4855;“The reality is more people are dying of bad climate change policies than they are of actual climate change.”;environment;Vivek Ramaswamy; in a GOP presidential primary debate in Milwaukee;pants-fire
4856;“I’ve already” declared a national climate emergency;environment;Joe Biden; in an interview with the Weather Channel;false
4857;“Wildfires do not completely burn out cars, glass and all, yet leaving nearby trees and utility poles still standing upright.”;environment;Facebook posts; in a video shared on Facebook.;false
4858;"""No hay calentamiento global, de hecho las gráficas indican que nos estamos enfriando cada vez más”.";environment;Facebook posts; in una publicación en Facebook;pants-fire
4859;Under the “2023 Solar Incentive Program,” U.S. homeowners can “now qualify to get a full, state-of-the-art solar system at absolutely no cost from the government.”;environment;Facebook posts; in a video shared on Facebook.;false
4860;"""The sand storm headed our way is an attempt by Bill Gates to block out the sun.”";environment;Facebook posts; in a Facebook post;false
4861;"Atrazine in the water supply is contributing to ""sexual dysphoria"" in kids.";environment;Robert F. Kennedy Jr.; in a podcast;false
4862;"""We have plans to build a railroad from the Pacific all the way across the Indian Ocean.""";environment;Joe Biden; in a speech;false
4863;"Recent wildfires put more carbon in the atmosphere than ""the human race has put out in the last 100 years.""";environment;Instagram posts; in an Instagram post;false
4864;"""Estelas de aviones ... están modificadas con químicos por gobiernos poderosos para enfermar a las personas con fines económicos manipulativos y de reducción de la población"".";environment;Facebook posts; in una publicación en Facebook;pants-fire
4865;"""NYC mayor plans to track and limit meat and dairy.""";environment;Instagram posts; in an Instagram post;barely-true
4866;“Goldfish crackers contain a dangerously high amount of weed killer.”;environment;Facebook posts; in a post;false
4867;"""NASA just announced a 100-foot-wide fissure-crack just opened up Yellowstone volcano in 24 hours.”";environment;Facebook posts; in a Facebook post;false
4868;Chemtrails are being put into the atmosphere and are trickling down into soil and water, becoming “the real cause of disease.”;environment;Facebook posts; in a Facebook post;pants-fire
4869;“Every single county in New York has experienced a federal climate disaster between 2011-2021.”;environment;Rebuild by Design; in a report;mostly-true
4870;On drilling on federal lands.;environment;Joe Biden; in an executive action;full-flop
4871;"Democrats ""want to ban gas powered cars and gas stoves.”";environment;Nikki Haley; in a speech at CPAC;half-true
4872;"Energy Secretary Jennifer Granholm met ""with the radical green energy group behind the gas stove ban,"" which ""has ties to the"" Chinese Communist Party.";environment;Nicholas Langworthy; in a tweet;barely-true
4873;“The five people that died in that plane crash … were supposed to go to Ohio to test the water, the soil and the air quality in East Palestine.”;environment;Facebook posts; in a post;false
4874;"""The laws governing Agenda 2030 land development allows the government to seize polluted lands and move their residents to … smart cities.”";environment;Instagram posts; in an Instagram post;false
4875;"Earthquake in Turkey and Syria is ""a systemic attack against Kurdish people.""";environment;Instagram posts; in an Instagram post;pants-fire
4876;“NASA stopped exploring the ocean.”;environment;Instagram posts; in an Instagram post;pants-fire
4877;“The White House is now attempting to ban all gas ovens and burners.”;environment;Sean Hannity; in a TV segment;false
4878;Large machinery is “required to move 500,000 pounds of earth in order to get the minerals needed for one single Tesla car battery.”;environment;Instagram posts; in a post;false
4879;West Virginia is poised to “receive $25M for 160 orphaned well clean-up projects across the state.”;environment;Joe Manchin; in a tweet;true
4880;“There are no greenhouse gas emissions in this photo” of cows grazing.;environment;Instagram posts; in a photo;false
4881;For climate change environmentalists, “not a single one of their predictions ever come true.”;environment;Charlie Kirk; in a video;false
4882;"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""";environment;Citizens Against Government Waste; in a Facebook ad;barely-true
4883;"""In Germany, millions of solar panels are blanketed in snow and 30,000 wind turbines are sitting idle because there’s no wind.”";environment;Instagram posts; in a post;false
4884;“Tim Ryan when he ran for president two years ago … supported banning fracking both on public lands and generally speaking.”;environment;JD Vance; in a debate;half-true
4885;"U.S. Sen. Marco Rubio ""has denied climate change.""";environment;Val Demings; in a tweet;half-true
4886;"Lee County, Florida, wasn't ""even in the cone"" of Hurricane Ian 72 hours before landfall.";environment;Ron DeSantis; in an interview with CNN;barely-true
4887;"""The true meaning of Hurricane,"" or Her-ricane, is the spirit of ""the African woman who has been stolen.""";environment;Facebook posts; in a Facebook post;false
4888;“All weather is artificially controlled.”;environment;Instagram posts; in a post;pants-fire
4889;"""Democrats' radical green energy policies caused record gas prices. """;environment;Ron Johnson; in Twitter;barely-true
4890;"""Russia is becoming the first country to break ties with the Antarctic Treaty.""";environment;Instagram posts; in TikTok video in Instagram post;pants-fire
4891;"Joe Biden and Raphael Warnock  ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”";environment;Herschel Walker; in a tweet;half-true
4892;"""Water-fueled car can travel from LA to NY on 22 gallons.""";environment;Instagram posts; in Instagram post;false
4893;Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin;environment;Facebook posts; in Facebook post;pants-fire
4894;"""We also know (the Sierra Club) paid for those reporters"" at the Palm Beach Post.";environment;Nikki Fried; in a campaign event;pants-fire
4895;Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”;environment;League of Conservation Voters; in Twitter;true
4896;"""Bill Gates and AOC say that a cow emits more pollution than a car.""";environment;Facebook posts; in a Facebook post;false
4897;Electric cars in California are not sustainable as only 10% of their batteries are recyclable and the state can’t recycle them.;environment;Instagram posts; in an Instagram post;false
4898;“We have more oil and gas permits than ever before right now.”;environment;Mandela Barnes; in Debate;mostly-true
4899;"You can't pour water on flames from an electric car battery because “water makes lithium burn.""";environment;Facebook posts; in a Facebook post;false
4900;"""Plankton in the Atlantic Ocean is 90% gone.""";environment;Instagram posts; in an Instagram post;false
4901;"""If every person on earth just recycled, stopped using plastic straws, and drove an electric car, 100 corporations would still produce 70% of total global emissions.""";environment;Instagram posts; in an Instagram post;false
4902;Images of Plymouth Rock prove sea levels are not rising.;environment;Facebook posts; in a Facebook post;false
4903;“Drought is a lie” designed to limit farming, reduce the food supply and ultimately control Americans.;environment;Facebook posts; in a Facebook post;pants-fire
4904;Studies show plastics can help combat climate change.;environment;Facebook posts; in a Facebook post;half-true
4905;The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”;environment;Facebook posts; in a Facebook post;false
4906;“CO2 is not a pollutant.”;environment;Suburban Virginia Republican Coalition; in a seminar.;false
4907;"Says photo shows ""one of Tesla's lithium supply mines where entire mountains are eliminated.""";environment;Facebook posts; in a photo;false
4908;“New York state has already lost 99% of its historic freshwater wetlands.”;environment;Sean Ryan; in an op-ed;barely-true
4909;“As soon as Biden took office, he eliminated all subsidies for fossil fuels.”;environment;Bill O'Reilly; in a video on his website;barely-true
4910;"Says President Joe Biden ""is trying to send taxpayer dollars to manufacturers overseas that do not abide by the same (carbon emission) standards we do at home.""";environment;Glenn Grothman; in Twitter;half-true
4911;"""The US has made strides in reducing carbon emissions that other parts of the world have not.""";environment;Glenn Grothman; in Twitter;true
4912;"""Bill Gates hatches 'horribly stupid' plan to block out the sun""";environment;Facebook posts; in an article;false
4913;"""Since 2000, the Department of Defense and the Department of Energy have been spraying the entire United States sky with the toxic brew of chemicals and other biologic agents.""";environment;Facebook posts; in a post;pants-fire
4914;Images show how climate change destroyed the Greenland ice sheet and harmed a polar bear from 2009 to 2019.;environment;Facebook posts; in a Facebook post;false
4915;Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.;environment;Facebook posts; in a post;false
4916;"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""";environment;Facebook posts; in a Facebook post;false
4917;"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""";environment;Joe Manchin; in a Senate hearing;half-true
4918;Electric vehicles are more likely to fail in traffic jams.;environment;Facebook posts; in a post;false
4919;A chart shows China and India are leading in per capita carbon dioxide emissions.;environment;Facebook posts; in Facebook posts;half-true
4920;“Within two years, there were two 500-year (storm) events” in Wisconsin.;environment;Tammy Baldwin; in Panel discussion;mostly-true
4921;Keystone Pipeline was blocked by Obama on Warren Buffett’s behalf.;environment;Facebook posts; in post on Facebook;false
4922;"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""";environment;Bloggers; in an article;false
4923;"“Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600‼️ per head of cattle? $500 for swine!!!""";environment;Facebook posts; in social media posts;false
4924;"“FDA approval means nothing when you realize the FDA also approves pesticides in our food!""";environment;Facebook posts; in a Facebook post;barely-true
4925;“A farm with 2,500 dairy cattle is similar in waste load to a city of 411,000 people.”;environment;Jill Karofsky; in Legal opinion;false
4926;"Photo shows an electric car charging station that uses ""12 gallons of diesel fuel per hour, and it takes three hours to fully charge a car to get 200 miles. That's 36 gallons for 200 miles. 5.6 mpg.""";environment;Facebook posts; in a Facebook post;false
4927;“Prairie State power plant is the cleanest coal-fired power plant in the nation.”;environment;Rodney Davis; in a press release;pants-fire
4928;The Biden administration “ignores the negative environmental impact created by lithium mining.”;environment;Chuck Grassley; in an op-ed;false
4929;Says a photo shows a “lithium mine for hybrid cars.”;environment;Facebook posts; in a Facebook post;false
4930;Says photos show a “boneyard” of electric cars abandoned in France because the cars’ batteries were too expensive to replace.;environment;Facebook posts; in a Facebook post;false
4931;"""Manufacturing the battery for one electric car produces the same amount of carbon dioxide as running a petrol car for eight years.""";environment;Viral image; in a Facebook post;barely-true
4932;With the goal to preserve 30% of the earth’s land and water by 2030, “300 million people stand to lose their land and livelihood, most of them tribal and indigenous peoples.”;environment;Survival International; in a website press release;barely-true
4933;The Green New Deal “costs an average American household almost $700,000 through 2029.”;environment;Ben Cline; in a floor speech.;false
4934;"""Biden's climate requirements"" will ""cut 90% of red meat from diet"" to a ""max 4 lbs per year"" and ""one burger per month.""";environment;Fox News Channel; in a TV graphic;pants-fire
4935;Two photos show climate change “is a hoax.”;environment;Facebook posts; in a Facebook post;false
4936;Image of expansive pit shows a lithium mine.;environment;Viral image; in a Facebook post;false
4937;The shutdown of the Keystone Pipeline project will mean “nearly 2,000 (union jobs lost) with Wisconsin companies”;environment;Ron Johnson; in Facebook post;mostly-true
4938;“Nobody’s health is at risk right now” from PFAS contamination, as long as they are receiving bottled drinking water;environment;Scott Manley; in TV interview;false
4939;Says that Hurricane Harvey “dropped more water on Houston in five days than goes over Niagara Falls in a year.”;environment;John Kerry; in in an interview;false
4940;"""In 2019, Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.""";environment;Chris Larson; in Twitter;mostly-true
4941;“West Virginia is near last in the U.S.” rankings of education, clean drinking water, and child mortality.;environment;Paula Jean Swearengin; in a tweet;mostly-true
4942;“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”;environment;Instagram posts; in a post;false
4943;“With regard to hurricanes, the National Oceanic (and Atmospheric) Administration tells us that actually, as difficult as they are, there are no more hurricanes today than there were 100 years ago.”;environment;Mike Pence; in a debate;half-true
4944;Video from 2019 shows Kamala Harris “caught in a major lie” about fracking during the 2020 vice presidential debate.;environment;Bloggers; in an article;barely-true
4945;Says Joe Biden’s website shows that he supports the Green New Deal, despite denials in debate.;environment;TikTok posts; in a video;half-true
4946;The man in a mugshot is “responsible for lighting 32 of the wildfires” on the West Coast.;environment;Facebook posts; in a Facebook post;false
4947;“Here is the fire drone video that Twitter, Google, and YouTube didn't want us to see.”;environment;X posts; in a Tweet;false
4948;Map shows that wildfires stop at the US.-Canada border.;environment;Viral image; in a Facebook post;false
4949;West Coast wildfires are due to “bad forest maintenance,” not climate change.;environment;Facebook posts; in a Facebook post;false
4950;Anti-poaching organizations dye elephant tusks and rhino horns with “the same pink dye that is used to mark stolen banknotes.”;environment;Facebook posts; in a Facebook post;false
